checklist_type,card_number,subset,player_name,team,rc_flag
Base,94,Base,Rece Hinds,Cincinnati Reds,RC
Base,95,Base,Julio Rodríguez,Seattle Mariners,
Base,96,Base,Drake Baldwin,Atlanta Braves,RC
Base,97,Base,Adael Amador,Colorado Rockies,RC
Base,98,Base,Freddie Freeman,Los Angeles Dodgers,
Base,99,Base,Mookie Betts,Los Angeles Dodgers,
Base,100,Base,Paul Skenes,Pittsburgh Pirates,
Base,101,Base,Carlos Correa,Houston Astros,
Base,102,Base,Adley Rutschman,Baltimore Orioles,
Base,103,Base,Corbin Carroll,Arizona Diamondbacks,
Base,104,Base,Pete Crow-Armstrong,Chicago Cubs,
Base,105,Base,Spencer Strider,Atlanta Braves,
Base,106,Base,Francisco Lindor,New York Mets,
Base,107,Base,José Ramírez,Cleveland Guardians,
Base,108,Base,Robert Hassell III,Washington Nationals,RC
Base,109,Base,Ozzie Albies,Atlanta Braves,
Base,110,Base,Jordan Lawlar,Arizona Diamondbacks,
Base,111,Base,Aaron Nola,Philadelphia Phillies,
Base,112,Base,Yordan Alvarez,Houston Astros,
Base,113,Base,Zach Neto,Los Angeles Angels,
Base,114,Base,Connor Norby,Miami Marlins,RC
Base,115,Base,Jarren Duran,Boston Red Sox,
Base,116,Base,Max Scherzer,Toronto Blue Jays,
Base,117,Base,Andrew McCutchen,Pittsburgh Pirates,
Base,118,Base,Gunnar Henderson,Baltimore Orioles,
Base,119,Base,Masyn Winn,St. Louis Cardinals,
Base,120,Base,Kumar Rocker,Texas Rangers,RC
Base,121,Base,Luis Castillo,Seattle Mariners,
Base,122,Base,Freddy Peralta,Milwaukee Brewers,
Base,123,Base,Trea Turner,Philadelphia Phillies,
Base,124,Base,Jackson Chourio,Milwaukee Brewers,
Base,125,Base,Javier Báez,Detroit Tigers,
Base,126,Base,Edgar Quero,Chicago White Sox,RC
Base,127,Base,Tarik Skubal,Detroit Tigers,
Base,128,Base,Clayton Kershaw,Los Angeles Dodgers,
Base,129,Base,Brooks Lee,Minnesota Twins,RC
Base,130,Base,Jackson Merrill,San Diego Padres,
Base,131,Base,Blake Snell,Los Angeles Dodgers,
Base,132,Base,Elly De La Cruz,Cincinnati Reds,
Base,133,Base,Jasson Domínguez,New York Yankees,
Base,134,Base,MacKenzie Gore,Washington Nationals,
Base,135,Base,Seiya Suzuki,Chicago Cubs,
Base,136,Base,Carlos Narváez,Boston Red Sox,RC
Base,137,Base,Dustin Harris,Texas Rangers,RC
Base,138,Base,Matt Olson,Atlanta Braves,
Base,139,Base,Jacob Wilson,Athletics,RC
Base,140,Base,Caden Dana,Los Angeles Angels,RC
Base,141,Base,Zack Wheeler,Philadelphia Phillies,
Base,142,Base,Jackson Jobe,Detroit Tigers,RC
Base,143,Base,Juan Soto,New York Mets,
Base,144,Base,Randy Arozarena,Seattle Mariners,
Base,145,Base,Angel Martínez,Cleveland Guardians,RC
Base,146,Base,Michael Harris II,Atlanta Braves,
Base,147,Base,Denzel Clarke,Athletics,RC
Base,148,Base,Junior Caminero,Tampa Bay Rays,
Base,149,Base,Luis Robert Jr.,Chicago White Sox,
Base,150,Base,David Festa,Minnesota Twins,RC
Base,151,Base,Pete Alonso,New York Mets,
Base,152,Base,Tomoyuki Sugano,Baltimore Orioles,RC
Base,153,Base,Luke Keaschall,Minnesota Twins,RC
Base,154,Base,Coby Mayo,Baltimore Orioles,RC
Base,155,Base,Zach Dezenzo,Houston Astros,RC
Base,156,Base,Jazz Chisholm Jr.,New York Yankees,
Base,157,Base,Spencer Schwellenbach,Atlanta Braves,RC
Base,158,Base,Sandy Alcantara,Miami Marlins,
Base,159,Base,Paul Goldschmidt,New York Yankees,
Base,160,Base,Mick Abel,Minnesota Twins,RC
Base,161,Base,Logan O'Hoppe,Los Angeles Angels,
Base,162,Base,Chandler Simpson,Tampa Bay Rays,RC
Base,163,Base,Jackson Holliday,Baltimore Orioles,
Base,164,Base,Kyle Tucker,Chicago Cubs,
Base,165,Base,Ronald Acuña Jr.,Atlanta Braves,
Base,166,Base,Cam Smith,Houston Astros,RC
Base,167,Base,Griffin Conine,Miami Marlins,RC
Base,168,Base,Dylan Cease,San Diego Padres,
Base,169,Base,Will Smith,Los Angeles Dodgers,
Base,170,Base,Ben Williamson,Seattle Mariners,RC
Base,171,Base,William Contreras,Milwaukee Brewers,
Base,172,Base,Aaron Schunk,Colorado Rockies,RC
Base,173,Base,Edwin Díaz,New York Mets,
Base,174,Base,Ben Rice,New York Yankees,RC
Base,175,Base,Ketel Marte,Arizona Diamondbacks,
Base,176,Base,Alejandro Osuna,Texas Rangers,RC
Base,177,Base,CJ Abrams,Washington Nationals,
Base,178,Base,Trey Sweeney,Detroit Tigers,RC
Base,179,Base,Nolan Arenado,St. Louis Cardinals,
Base,180,Base,Kyle Manzardo,Cleveland Guardians,
Base,181,Base,Hyeseong Kim,Los Angeles Dodgers,RC
Base,182,Base,Alan Roden,Minnesota Twins,RC
Base,183,Base,Nick Kurtz,Athletics,RC
Base,184,Base,Drew Thorpe,Chicago White Sox,RC
Base,185,Base,Aaron Judge,New York Yankees,
Base,186,Base,Rafael Devers,San Francisco Giants,
Base,187,Base,Dansby Swanson,Chicago Cubs,
Base,188,Base,Mike Trout,Los Angeles Angels,
Base,189,Base,Wyatt Langford,Texas Rangers,
Base,190,Base,Corbin Burnes,Arizona Diamondbacks,
Base,191,Base,River Ryan,Los Angeles Dodgers,RC
Base,192,Base,Shota Imanaga,Chicago Cubs,
Base,193,Base,Kameron Misner,Tampa Bay Rays,RC
Base,194,Base,Dylan Crews,Washington Nationals,RC
Base,195,Base,Tyler Locklear,Arizona Diamondbacks,RC
Base,196,Base,Willy Adames,San Francisco Giants,
Base,197,Base,Caleb Durbin,Milwaukee Brewers,RC
Base,198,Base,Jacob deGrom,Texas Rangers,
Base,199,Base,Brent Rooker,Athletics,
Base,200,Base,Bryce Harper,Philadelphia Phillies,
Base,1,Base,James Wood,Washington Nationals,
Base,26,Base,Cade Horton,Chicago Cubs,
Base,35,Base,Matt Shaw,Chicago Cubs,
Base,47,Base,Kristian Campbell,Boston Red Sox,
Base,68,Base,Roki Sasaki,Los Angeles Dodgers,
Base,91,Base,Marcelo Mayer,Boston Red Sox,
Base,96,Base,Drake Baldwin,Atlanta Braves,
Base,129,Base,Brooks Lee,Minnesota Twins,
Base,139,Base,Jacob Wilson,Athletics,
Base,142,Base,Jackson Jobe,Detroit Tigers,
Base,154,Base,Coby Mayo,Baltimore Orioles,
Base,166,Base,Cam Smith,Houston Astros,
Base,174,Base,Ben Rice,New York Yankees,
Base,181,Base,Hyeseong Kim,Los Angeles Dodgers,
Base,183,Base,Nick Kurtz,Athletics,
Base,194,Base,Dylan Crews,Washington Nationals,
Autographs,CCA-AA,Cosmic Chrome Autographs,Adael Amador,Colorado Rockies,
Autographs,CCA-AM,Cosmic Chrome Autographs,Angel Martínez,Cleveland Guardians,
Autographs,CCA-AR,Cosmic Chrome Autographs,Adley Rutschman,Baltimore Orioles,
Autographs,CCA-ARI,Cosmic Chrome Autographs,Austin Riley,Atlanta Braves,
Autographs,CCA-AW,Cosmic Chrome Autographs,Austin Wells,New York Yankees,
Autographs,CCA-BL,Cosmic Chrome Autographs,Brooks Lee,Minnesota Twins,
Autographs,CCA-BR,Cosmic Chrome Autographs,Ben Rice,New York Yankees,
Autographs,CCA-CA,Cosmic Chrome Autographs,CJ Abrams,Washington Nationals,
Autographs,CCA-CC,Cosmic Chrome Autographs,Colton Cowser,Baltimore Orioles,
Autographs,CCA-CCA,Cosmic Chrome Autographs,Corbin Carroll,Arizona Diamondbacks,
Autographs,CCA-CK,Cosmic Chrome Autographs,Colt Keith,Detroit Tigers,
Autographs,CCA-CN,Cosmic Chrome Autographs,Connor Norby,Miami Marlins,
Autographs,CCA-CS,Cosmic Chrome Autographs,Cam Smith,Houston Astros,
Autographs,CCA-CY,Cosmic Chrome Autographs,Christian Yelich,Milwaukee Brewers,
Autographs,CCA-DC,Cosmic Chrome Autographs,Dylan Crews,Washington Nationals,
Autographs,CCA-DT,Cosmic Chrome Autographs,Drew Thorpe,Chicago White Sox,
Autographs,CCA-EC,Cosmic Chrome Autographs,Evan Carter,Texas Rangers,
Autographs,CCA-GM,Cosmic Chrome Autographs,Grant McCray,San Francisco Giants,
Autographs,CCA-HK,Cosmic Chrome Autographs,Hyeseong Kim,Los Angeles Dodgers,
Autographs,CCA-HW,Cosmic Chrome Autographs,Hurston Waldrep,Atlanta Braves,
Autographs,CCA-IH,Cosmic Chrome Autographs,Ian Happ,Chicago Cubs,
Autographs,CCA-JA,Cosmic Chrome Autographs,Jose Altuve,Houston Astros,
Autographs,CCA-JC,Cosmic Chrome Autographs,Jackson Chourio,Milwaukee Brewers,
Autographs,CCA-JD,Cosmic Chrome Autographs,Jasson Domínguez,New York Yankees,
Autographs,CCA-JH,Cosmic Chrome Autographs,Jackson Holliday,Baltimore Orioles,
Autographs,CCA-JJ,Cosmic Chrome Autographs,Jace Jung,Detroit Tigers,
Autographs,CCA-JM,Cosmic Chrome Autographs,Justyn-Henry Malloy,Detroit Tigers,
Autographs,CCA-JN,Cosmic Chrome Autographs,Jhonkensy Noel,Cleveland Guardians,
Autographs,CCA-JRA,Cosmic Chrome Autographs,José Ramírez,Cleveland Guardians,
Autographs,CCA-JW,Cosmic Chrome Autographs,Jacob Wilson,Athletics,
Autographs,CCA-JWO,Cosmic Chrome Autographs,James Wood,Washington Nationals,
Autographs,CCA-KA,Cosmic Chrome Autographs,Kevin Alcántara,Chicago Cubs,
Autographs,CCA-KC,Cosmic Chrome Autographs,Kristian Campbell,Boston Red Sox,
Autographs,CCA-KR,Cosmic Chrome Autographs,Kumar Rocker,Texas Rangers,
Autographs,CCA-LA,Cosmic Chrome Autographs,Luisangel Acuña,New York Mets,
Autographs,CCA-MC,Cosmic Chrome Autographs,Matt Chapman,San Francisco Giants,
Autographs,CCA-MM,Cosmic Chrome Autographs,Marcelo Mayer,Boston Red Sox,
Autographs,CCA-MMA,Cosmic Chrome Autographs,Manny Machado,San Diego Padres,
Autographs,CCA-MO,Cosmic Chrome Autographs,Matt Olson,Atlanta Braves,
Autographs,CCA-MSH,Cosmic Chrome Autographs,Matt Shaw,Chicago Cubs,
Autographs,CCA-NA,Cosmic Chrome Autographs,Nolan Arenado,St. Louis Cardinals,
Autographs,CCA-NAL,Cosmic Chrome Autographs,Nacho Alvarez Jr.,Atlanta Braves,
Autographs,CCA-NK,Cosmic Chrome Autographs,Nick Kurtz,Athletics,
Autographs,CCA-PS,Cosmic Chrome Autographs,Paul Skenes,Pittsburgh Pirates,
Autographs,CCA-RAC,Cosmic Chrome Autographs,Ronald Acuña Jr.,Atlanta Braves,
Autographs,CCA-RB,Cosmic Chrome Autographs,Ryan Bliss,Seattle Mariners,
Autographs,CCA-RH,Cosmic Chrome Autographs,Rece Hinds,Cincinnati Reds,
Autographs,CCA-RL,Cosmic Chrome Autographs,Rhett Lowder,Cincinnati Reds,
Autographs,CCA-RR,Cosmic Chrome Autographs,River Ryan,Los Angeles Dodgers,
Autographs,CCA-RS,Cosmic Chrome Autographs,Roki Sasaki,Los Angeles Dodgers,
Autographs,CCA-SS,Cosmic Chrome Autographs,Spencer Schwellenbach,Atlanta Braves,
Autographs,CCA-TL,Cosmic Chrome Autographs,Tyler Locklear,Seattle Mariners,
Autographs,CCA-TS,Cosmic Chrome Autographs,Thomas Saggese,St. Louis Cardinals,
Autographs,CCA-TT,Cosmic Chrome Autographs,Trea Turner,Philadelphia Phillies,
Autographs,CCA-WL,Cosmic Chrome Autographs,Wyatt Langford,Texas Rangers,
Autographs,CCA-YY,Cosmic Chrome Autographs,Yoshinobu Yamamoto,Los Angeles Dodgers,
Autographs,ETA-AJ,Cosmic Chrome Autographs,Aaron Judge,New York Yankees,
Autographs,ETA-BL,Cosmic Chrome Autographs,Brooks Lee,Minnesota Twins,
Autographs,ETA-CMA,Cosmic Chrome Autographs,Coby Mayo,Baltimore Orioles,
Autographs,ETA-ED,Cosmic Chrome Autographs,Elly De La Cruz,Cincinnati Reds,
Autographs,ETA-FL,Cosmic Chrome Autographs,Francisco Lindor,New York Mets,
Autographs,ETA-JC,Cosmic Chrome Autographs,Junior Caminero,Tampa Bay Rays,
Autographs,ETA-JCJ,Cosmic Chrome Autographs,Jazz Chisholm Jr.,New York Yankees,
Autographs,ETA-JJ,Cosmic Chrome Autographs,Jace Jung,Detroit Tigers,
Autographs,ETA-JJU,Cosmic Chrome Autographs,Josh Jung,Texas Rangers,
Autographs,ETA-JM,Cosmic Chrome Autographs,Jackson Merrill,San Diego Padres,
Autographs,ETA-JS,Cosmic Chrome Autographs,Juan Soto,New York Mets,
Autographs,ETA-KA,Cosmic Chrome Autographs,Kevin Alcántara,Chicago Cubs,
Autographs,ETA-KT,Cosmic Chrome Autographs,Kyle Tucker,Chicago Cubs,
Autographs,ETA-LA,Cosmic Chrome Autographs,Luisangel Acuña,New York Mets,
Autographs,ETA-MT,Cosmic Chrome Autographs,Mike Trout,Los Angeles Angels,
Autographs,ETA-RAC,Cosmic Chrome Autographs,Ronald Acuña Jr.,Atlanta Braves,
Autographs,ETA-RL,Cosmic Chrome Autographs,Rhett Lowder,Cincinnati Reds,
Autographs,ETA-RS,Cosmic Chrome Autographs,Roki Sasaki,Los Angeles Dodgers,
Autographs,LIOA-AB,Cosmic Chrome Autographs,Adrian Beltré,Texas Rangers,
Autographs,LIOA-AM,Cosmic Chrome Autographs,Andrew McCutchen,Pittsburgh Pirates,
Autographs,LIOA-AP,Cosmic Chrome Autographs,Albert Pujols,St. Louis Cardinals,
Autographs,LIOA-AR,Cosmic Chrome Autographs,Adley Rutschman,Baltimore Orioles,
Autographs,LIOA-ARI,Cosmic Chrome Autographs,Austin Riley,Atlanta Braves,
Autographs,LIOA-ARO,Cosmic Chrome Autographs,Alex Rodriguez,New York Yankees,
Autographs,LIOA-BB,Cosmic Chrome Autographs,Barry Bonds,San Francisco Giants,
Autographs,LIOA-BH,Cosmic Chrome Autographs,Bryce Harper,Philadelphia Phillies,
Autographs,LIOA-BP,Cosmic Chrome Autographs,Buster Posey,San Francisco Giants,
Autographs,LIOA-BR,Cosmic Chrome Autographs,Brent Rooker,Athletics,
Autographs,LIOA-CC,Cosmic Chrome Autographs,Colton Cowser,Baltimore Orioles,
Autographs,LIOA-CJ,Cosmic Chrome Autographs,Chipper Jones,Atlanta Braves,
Autographs,LIOA-CR,Cosmic Chrome Autographs,Cal Ripken Jr.,Baltimore Orioles,
Autographs,LIOA-DC,Cosmic Chrome Autographs,Dylan Crews,Washington Nationals,
Autographs,LIOA-DM,Cosmic Chrome Autographs,Dale Murphy,Atlanta Braves,
Autographs,LIOA-DMA,Cosmic Chrome Autographs,Don Mattingly,New York Yankees,
Autographs,LIOA-DO,Cosmic Chrome Autographs,David Ortiz,Boston Red Sox,
Autographs,LIOA-EM,Cosmic Chrome Autographs,Eddie Murray,Baltimore Orioles,
Autographs,LIOA-FM,Cosmic Chrome Autographs,Fred McGriff,Atlanta Braves,
Autographs,LIOA-FT,Cosmic Chrome Autographs,Frank Thomas,Chicago White Sox,
Autographs,LIOA-GB,Cosmic Chrome Autographs,George Brett,Kansas City Royals,
Autographs,LIOA-HM,Cosmic Chrome Autographs,Hideki Matsui,New York Yankees,
Autographs,LIOA-JB,Cosmic Chrome Autographs,Jeff Bagwell,Houston Astros,
Autographs,LIOA-JC,Cosmic Chrome Autographs,Jazz Chisholm Jr.,New York Yankees,
Autographs,LIOA-JJ,Cosmic Chrome Autographs,Josh Jung,Texas Rangers,
Autographs,LIOA-JN,Cosmic Chrome Autographs,Jhonkensy Noel,Cleveland Guardians,
Autographs,LIOA-JW,Cosmic Chrome Autographs,James Wood,Washington Nationals,
Autographs,LIOA-KA,Cosmic Chrome Autographs,Kevin Alcántara,Chicago Cubs,
Autographs,LIOA-KT,Cosmic Chrome Autographs,Kyle Tucker,Chicago Cubs,
Autographs,LIOA-MC,Cosmic Chrome Autographs,Miguel Cabrera,Detroit Tigers,
Autographs,LIOA-MM,Cosmic Chrome Autographs,Manny Machado,San Diego Padres,
Autographs,LIOA-MMC,Cosmic Chrome Autographs,Mark McGwire,St. Louis Cardinals,
Autographs,LIOA-MO,Cosmic Chrome Autographs,Marcell Ozuna,Atlanta Braves,
Autographs,LIOA-MOL,Cosmic Chrome Autographs,Matt Olson,Atlanta Braves,
Autographs,LIOA-MP,Cosmic Chrome Autographs,Mike Piazza,New York Mets,
Autographs,LIOA-MS,Cosmic Chrome Autographs,Mike Schmidt,Philadelphia Phillies,
Autographs,LIOA-MT,Cosmic Chrome Autographs,Mike Trout,Los Angeles Angels,
Autographs,LIOA-PA,Cosmic Chrome Autographs,Pete Alonso,New York Mets,
Autographs,LIOA-RH,Cosmic Chrome Autographs,Ryan Howard,Philadelphia Phillies,
Autographs,LIOA-RJ,Cosmic Chrome Autographs,Reggie Jackson,New York Yankees,
Autographs,LIOA-SO,Cosmic Chrome Autographs,Shohei Ohtani,Los Angeles Dodgers,
Autographs,LIOA-SS,Cosmic Chrome Autographs,Sammy Sosa,Chicago Cubs,
Autographs,LIOA-VG,Cosmic Chrome Autographs,Vladimir Guerrero,Los Angeles Angels,
Autographs,LIOA-YA,Cosmic Chrome Autographs,Yordan Alvarez,Houston Astros,
Autographs,SCDA-BD,Cosmic Chrome Autographs,Johnny Bench/Elly De La Cruz,Cincinnati Reds,
Autographs,SCDA-DC,Cosmic Chrome Autographs,CC Sabathia/Derek Jeter,New York Yankees,
Autographs,SCDA-GI,Cosmic Chrome Autographs,Ken Griffey Jr./Ichiro,Seattle Mariners,
Autographs,SCDA-HR,Cosmic Chrome Autographs,Julio Rodríguez/Félix Hernández,Seattle Mariners,
Autographs,SCDA-JA,Cosmic Chrome Autographs,Chipper Jones/Ronald Acuña Jr.,Atlanta Braves,
Autographs,SCDA-JC,Cosmic Chrome Autographs,Randy Johnson/Corbin Carroll,Arizona Diamondbacks,
Autographs,SCDA-JEJ,Cosmic Chrome Autographs,Aaron Judge/Derek Jeter,New York Yankees,
Autographs,SCDA-JW,Cosmic Chrome Autographs,Bo Jackson/Bobby Witt Jr.,Kansas City Royals,
Autographs,SCDA-KO,Cosmic Chrome Autographs,Shohei Ohtani/Sandy Koufax,Los Angeles Dodgers,
Autographs,SCDA-KY,Cosmic Chrome Autographs,Clayton Kershaw/Yoshinobu Yamamoto,Los Angeles Dodgers,
Autographs,SCDA-MS,Cosmic Chrome Autographs,Greg Maddux/Chris Sale,Atlanta Braves,
Autographs,SCDA-OS,Cosmic Chrome Autographs,Roki Sasaki/Shohei Ohtani,Los Angeles Dodgers,
Autographs,SCDA-PA,Cosmic Chrome Autographs,Pete Alonso/Mike Piazza,New York Mets,
Autographs,SCDA-PC,Cosmic Chrome Autographs,Will Clark/Buster Posey,San Francisco Giants,
Autographs,SCDA-PM,Cosmic Chrome Autographs,Mark McGwire/Albert Pujols,St. Louis Cardinals,
Autographs,SCDA-RH,Cosmic Chrome Autographs,Cal Ripken Jr./Gunnar Henderson,Baltimore Orioles,
Autographs,SCDA-SA,Cosmic Chrome Autographs,Kevin Alcántara/Ryne Sandberg,Chicago Cubs,
Autographs,SCDA-SC,Cosmic Chrome Autographs,Mike Schmidt/Steve Carlton,Philadelphia Phillies,
Autographs,SCDA-WC,Cosmic Chrome Autographs,James Wood/Dylan Crews,Washington Nationals,
Autographs,SCDA-YS,Cosmic Chrome Autographs,Yoshinobu Yamamoto/Roki Sasaki,Los Angeles Dodgers,
Autographs,SNA-AR,Cosmic Chrome Autographs,Adley Rutschman,Baltimore Orioles,
Autographs,SNA-BL,Cosmic Chrome Autographs,Brooks Lee,Minnesota Twins,
Autographs,SNA-BW,Cosmic Chrome Autographs,Bobby Witt Jr.,Kansas City Royals,
Autographs,SNA-CC,Cosmic Chrome Autographs,Corbin Carroll,Arizona Diamondbacks,
Autographs,SNA-DC,Cosmic Chrome Autographs,Dylan Crews,Washington Nationals,
Autographs,SNA-EC,Cosmic Chrome Autographs,Evan Carter,Texas Rangers,
Autographs,SNA-FT,Cosmic Chrome Autographs,Fernando Tatis Jr.,San Diego Padres,
Autographs,SNA-GH,Cosmic Chrome Autographs,Gunnar Henderson,Baltimore Orioles,
Autographs,SNA-HK,Cosmic Chrome Autographs,Hyeseong Kim,Los Angeles Dodgers,
Autographs,SNA-JC,Cosmic Chrome Autographs,Jackson Chourio,Milwaukee Brewers,
Autographs,SNA-JD,Cosmic Chrome Autographs,Jasson Domínguez,New York Yankees,
Autographs,SNA-JH,Cosmic Chrome Autographs,Jackson Holliday,Baltimore Orioles,
Autographs,SNA-JJ,Cosmic Chrome Autographs,Jackson Jobe,Detroit Tigers,
Autographs,SNA-JR,Cosmic Chrome Autographs,Julio Rodríguez,Seattle Mariners,
Autographs,SNA-JW,Cosmic Chrome Autographs,Jacob Wilson,Athletics,
Autographs,SNA-LA,Cosmic Chrome Autographs,Luis Arraez,San Diego Padres,
Autographs,SNA-PS,Cosmic Chrome Autographs,Paul Skenes,Pittsburgh Pirates,
Autographs,SNA-TS,Cosmic Chrome Autographs,Tarik Skubal,Detroit Tigers,
Autographs,SNA-TT,Cosmic Chrome Autographs,Trea Turner,Philadelphia Phillies,
Autographs,SNA-VG,Cosmic Chrome Autographs,Vladimir Guerrero Jr.,Toronto Blue Jays,
Autographs,SNA-WL,Cosmic Chrome Autographs,Wyatt Langford,Texas Rangers,
Autographs,SNA-YY,Cosmic Chrome Autographs,Yoshinobu Yamamoto,Los Angeles Dodgers,
Inserts,91,Aqua Equinox 150/199,Marcelo Mayer,Boston Red Sox,RC
Inserts,99,Aqua Equinox 162/199,Mookie Betts,Los Angeles Dodgers,
Inserts,LS-1,Superfractor /1,Bobby Witt Jr.,Kansas City Royals,
Inserts,LS-2,Superfractor /1,Elly De La Cruz,Cincinnati Reds,
Inserts,LS-3,Superfractor /1,Pete Crow-Armstrong,Chicago Cubs,
Inserts,LS-4,Superfractor /1,Wyatt Langford,Texas Rangers,
Inserts,LS-5,Superfractor /1,James Wood,Washington Nationals,
Inserts,LS-6,Superfractor /1,Jackson Chourio,Milwaukee Brewers,
Inserts,LS-7,Superfractor /1,Ronald Acuña Jr.,Atlanta Braves,
Inserts,LS-8,Superfractor /1,Trea Turner,Philadelphia Phillies,
Inserts,LS-9,Superfractor /1,Julio Rodríguez,Seattle Mariners,
Inserts,LS-10,Superfractor /1,Luisangel Acuña,New York Mets,
Inserts,LS-11,Superfractor /1,Jackson Holliday,Baltimore Orioles,
Inserts,LS-12,Superfractor /1,Marcelo Mayer,Boston Red Sox,
