OldName,NewName,Side,CardNumber,SetToken,Player,Team,PlayerScore,TeamScore,Rotation,Note,Error
IMG_3628.JPEG,,front,,topps-pro-debut-2025,Chase Utley,ACL Angels,0.476,0.444,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='Ce wt et P'; ocr_team='- ae - s',
IMG_3660.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3661.JPEG,,front,,topps-pro-debut-2025,,West Michigan Whitecaps,0.0,0.304,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='---L - owe - an e - - -',
IMG_3662.JPEG,,front,,topps-pro-debut-2025,Ben Hess,,0.556,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='a ie He ls'; ocr_team='',
IMG_3663.JPEG,,front,,topps-pro-debut-2025,,ACL Royals,0.0,0.4,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='- a fe a R oo E KY a MS -',
IMG_3664.JPEG,,front,,topps-pro-debut-2025,,ACL Brewers,0.0,0.429,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='eeS',
IMG_3665.JPEG,,front,,topps-pro-debut-2025,,Quad Cities River Bandits,0.0,0.373,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='a i Yt sy ry ca - - z ve - a a - e',
IMG_3666.JPEG,,front,,bowman-draft-2025,Eli Willits,,0.421,0.0,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='i zl Q t'; ocr_team='i y',
IMG_3667.JPEG,,front,,topps-pro-debut-2025,,Northwest Arkansas Naturals,0.0,0.338,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='we a are y ta - Sum wF i sarrenSreD at - a -',
IMG_3668.JPEG,,front,,topps-pro-debut-2025,,Lakeland Flying Tigers,0.0,0.209,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='a we eee eo -- oOo wn x io n z a i t tly Webs es getbining Swthleetiumgeeeee ceeenepeeemew ee',
IMG_3669.JPEG,,front,,topps-pro-debut-2025,,Quad Cities River Bandits,0.0,0.25,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='a w a pee oe Sy eee a ftw rr nor bgweweTTgdeRETReeteReFeeebst -',
IMG_3670.JPEG,,front,,topps-pro-debut-2025,,Great Lakes Loons,0.0,0.381,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='eee VNR rears oo ty ste -',
IMG_3673.JPEG,,front,,topps-pro-debut-2025,,San Jose Giants,0.0,0.417,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='NOseeeete',
IMG_3674.JPEG,,front,,topps-pro-debut-2025,Dillon Head,,0.556,0.0,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='ll He i'; ocr_team='ee',
IMG_3675.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3676.JPEG,,front,,topps-pro-debut-2025,Drew Beam,,0.455,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='ies iW - iB a'; ocr_team='',
IMG_3677.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3678.JPEG,,front,,topps-pro-debut-2025,,Columbia Fireflies,0.0,0.387,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='in a x fae ee',
IMG_3679.JPEG,,front,,topps-pro-debut-2025,Matt Shaw,,0.462,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='maaG'; ocr_team='as',
IMG_3680.JPEG,,front,,topps-pro-debut-2025,,St Lucie Mets,0.0,0.421,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='teg He',
IMG_3681.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='a',
IMG_3682.JPEG,,front,,topps-pro-debut-2025,,Lake County Captains,0.0,0.381,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='pu Ul me ShOUS PO ty -',
IMG_3683.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='A',
IMG_3684.JPEG,,front,,topps-pro-debut-2025,,Iowa Cubs,0.0,0.4,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='ooso a BW -',
IMG_3685.JPEG,,front,,bowman-draft-2025,Luis Pe a,,0.625,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='i a e A'; ocr_team='',
IMG_3686.JPEG,,front,,topps-pro-debut-2025,Drew Beam,Salem Red Sox,0.385,0.538,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='Fido Bee a i I id'; ocr_team='mo omrD wv So',
IMG_3687.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3688.JPEG,,front,,topps-pro-debut-2025,,FCL Mets,0.0,0.471,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='zs gF moe',
IMG_3689.JPEG,,front,,topps-pro-debut-2025,,San Jose Giants,0.0,0.533,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='Sa oe oe Y ie a',
IMG_3690.JPEG,,front,,topps-pro-debut-2025,,ACL Brewers,0.0,0.5,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='a boe',
IMG_3691.JPEG,,front,,topps-pro-debut-2025,,Lake County Captains,0.0,0.348,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='a'; ocr_team='- el f w--ae a o Q ce Pema F i aoa inne i f s - f',
IMG_3692.JPEG,,front,,topps-pro-debut-2025,,Las Vegas Aviators,0.0,0.538,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='as e a s',
IMG_3693.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3694.JPEG,,front,,bowman-draft-2025,Jes s Made,Arizona Diamondbacks,0.435,0.24,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='Ys il aa i ed'; ocr_team='-wDBa',
IMG_3695.JPEG,,front,,topps-pro-debut-2025,Sean Keys,,0.667,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='Sea aE ZS'; ocr_team='oe',
IMG_3696.JPEG,,front,,topps-pro-debut-2025,Cole Mathis,Iowa Cubs,0.526,0.444,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='L ut ifs'; ocr_team='ie oS a i',
IMG_3697.JPEG,,front,,topps-pro-debut-2025,,Lake Elsinore Storm,0.0,0.215,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='oa u -e -- Eh ic SS a aawrgeSakPnFetelSIBSOASOeD yoMaise SPVAITLeede -Pmearethglabiuwtfaeg e-fBay a re',
IMG_3698.JPEG,,front,,topps-pro-debut-2025,,Las Vegas Aviators,0.0,0.31,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='a all s af - - e pee t beeeBiekeceebghiaheeeetl reese',
IMG_3699.JPEG,,front,,topps-pro-debut-2025,,ACL Brewers,0.0,0.444,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='i ee SF',
IMG_3700.JPEG,,front,,topps-pro-debut-2025,,Beloit Sky Carp,0.0,0.364,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='ov ino - - t QQ Cy',
IMG_3701.JPEG,,front,,topps-pro-debut-2025,,Somerset Patriots,0.0,0.48,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='es a oes',
IMG_3702.JPEG,,front,,topps-pro-debut-2025,,Arkansas Travelers,0.0,0.471,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='nary fsa e e o r',
IMG_3703.JPEG,,front,,topps-pro-debut-2025,,Lake Elsinore Storm,0.0,0.391,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='G iA a - eT --s re S --Taee',
IMG_3704.JPEG,,front,,topps-pro-debut-2025,,Asheville Tourists,0.0,0.432,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='wVwChll T ow -PBT s',
IMG_3705.JPEG,,front,,topps-pro-debut-2025,,Eugene Emeralds,0.0,0.455,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='eee Fol',
IMG_3706.JPEG,,front,,topps-pro-debut-2025,,San Antonio Missions,0.0,0.424,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='S PoXY oO onl',
IMG_3707.JPEG,,front,,topps-pro-debut-2025,,Tennessee Smokies,0.0,0.367,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='- OE - f - Teese Se - om - Se an',
IMG_3708.JPEG,,front,,bowman-draft-2025,Ike Irish,,0.4,0.0,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='P i if'; ocr_team='',
IMG_3709.JPEG,,front,,topps-pro-debut-2025,Billy Amick,,0.476,0.0,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='in - Dy ik'; ocr_team='',
